experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,waitingSteps,numMaxSteps,encounterDistance,genomicDistance,Nb,Nc_inDamageFoci,excludedVolume,iterationsNumber,events,FETs,meanFET,halfCI_FET,expFit_Amplitude,expFit_Rate,eventsCounter,repair_probability,repair_CIhalflength,mean_removedCLs,MSRG_atEncounter,Ensemble_MSRG
0_0,100,3,0.2,12,True,0.008,20,0.0233,0.01,250,12000,0.09683253245280515,10,2,0,0.1936650649056103,20,"['Repair' 'Repair' 'Repair' 'Repair' 'Repair' 'Misrepair_a1-b1'
 'Misrepair_a2-b1' 'Misrepair_a1-b2' 'Misrepair_a2-b2' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b2' 'Misrepair_a1-b2'
 'Misrepair_a1-b1' 'Misrepair_a2-b1' 'Repair' 'Misrepair_a1-b1'
 'Misrepair_a2-b1' 'Repair']","[13.98    4.7532  0.2563  0.2796 75.259   7.1065  0.932   3.1222  0.5126
  3.1921 42.9652 10.9277 11.9063  5.6619 33.552  53.0541 26.3756 22.0185
 21.8321  1.8407]",16.976380000000002,8.726923828225617,0.0849782687248688,0.08989420622673686,"Counter({'Repair': 7, 'Misrepair_a2-b1': 6, 'Misrepair_a1-b1': 3, 'Misrepair_a1-b2': 2, 'Misrepair_a2-b2': 2})",0.35,0.2090411442754751,0.0,"[1.42481253 0.49995978 1.20361295 0.33185606 0.20278749 0.3906482
 0.64301089 0.40958533 0.86011422 1.00683019 0.11012692 0.63739265
 0.34595299 1.47069855 0.27858482 0.17409984 0.28310582 0.29800674
 0.24146043 1.16494633]",0.5988796364752547
0_1,100,3,0.2,12,True,0.008,20,0.0224,0.01,250,12000,0.09480361253917813,10,2,1,0.18960722507835626,20,"['Repair' 'Misrepair_a2-b1' 'Repair' 'Repair' 'Repair' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a1-b1' 'Repair'
 'Misrepair_a2-b2' 'Misrepair_a2-b2' 'Repair' 'Misrepair_a1-b1'
 'Misrepair_a1-b2' 'Repair' 'Misrepair_a1-b1' 'Repair' 'Repair'
 'Misrepair_a1-b1']","[6.27200e+00 2.95680e+00 3.36000e-01 2.67904e+01 1.56800e-01 4.48000e-01
 2.08320e+00 7.36288e+01 4.01184e+01 2.56256e+01 1.00800e+00 9.63200e-01
 4.48000e-02 1.20960e+00 3.51680e+00 4.45312e+01 3.20096e+01 3.68032e+01
 3.58400e-01 3.48544e+01]",16.68576,9.025795862998747,2.185709547612587,0.6151194469014819,"Counter({'Repair': 9, 'Misrepair_a2-b1': 4, 'Misrepair_a1-b1': 4, 'Misrepair_a2-b2': 2, 'Misrepair_a1-b2': 1})",0.45,0.2180362355206125,0.0,"[0.59047265 0.93795679 0.24656965 0.37784974 0.21342512 0.62188831
 0.61566119 0.11031959 0.18621972 0.44962648 0.47212877 1.3546972
 0.88678515 0.61193795 0.29295147 0.12015393 0.36213012 0.30655089
 0.32839711 0.22010913]",0.4652915478372493
0_2,100,3,0.2,12,True,0.008,20,0.021500000000000002,0.01,250,12000,0.09295552008465498,10,2,2,0.18591104016930995,20,"['Misrepair_a1-b1' 'Misrepair_a1-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a1-b1' 'Repair' 'Misrepair_a2-b1'
 'Misrepair_a1-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b2' 'Repair' 'Repair'
 'Misrepair_a2-b1' 'Repair' 'Misrepair_a1-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Repair']","[12.642   0.5375  3.0315 11.18    1.935  41.1725 29.068  13.717   5.977
  0.258  35.4105  7.869  27.5415 15.8455 11.5025  4.386   2.666  13.4805
 17.3935  3.0745]",12.934400000000002,5.08650520447873,0.0801530161852135,0.0771741382448629,"Counter({'Misrepair_a2-b1': 9, 'Misrepair_a1-b1': 5, 'Repair': 5, 'Misrepair_a2-b2': 1})",0.25,0.18977618396416343,0.0,"[1.15996801 1.90625744 0.91820137 2.10143198 1.44123252 0.18550322
 0.25234372 1.07877524 0.71466151 1.01738748 0.31978022 0.4929801
 0.25552412 0.48863076 0.3654359  1.29433853 0.41582158 0.6737867
 0.67430265 0.78862006]",0.8272491552937018
0_3,100,3,0.2,12,True,0.008,20,0.0207,0.01,250,12000,0.09126056915128658,10,2,3,0.18252113830257316,20,"['Repair' 'Misrepair_a1-b1' 'Repair' 'Repair' 'Misrepair_a1-b1' 'Repair'
 'Repair' 'Misrepair_a1-b2' 'Repair' 'Repair' 'Misrepair_a2-b1'
 'Misrepair_a1-b1' 'Misrepair_a1-b1' 'Repair' 'Misrepair_a2-b1'
 'Misrepair_a1-b1' 'Repair' 'Repair' 'Repair' 'Repair']","[23.8878  2.9394  5.796  23.9913  8.1972  2.5875  2.7945  4.1814  0.
  0.3726 12.2337  0.9936  6.9345  6.8724  0.3726 48.5622  1.449   9.2736
  0.      0.2898]",8.086455,5.066255609158175,0.16209760158292136,0.16898138814047858,"Counter({'Repair': 12, 'Misrepair_a1-b1': 5, 'Misrepair_a2-b1': 2, 'Misrepair_a1-b2': 1})",0.6,0.2147072425420251,0.0,"[0.19288783 0.20351336 0.6696671  0.32196453 0.48122925 0.40042231
 0.5920328  0.80053743 0.70684254 0.54365811 0.61771002 1.10588491
 0.52363493 0.4880925  0.44794075 0.27826628 0.86392692 0.3803884
 0.22159083 1.82391384]",0.5832052317122216
0_4,100,3,0.2,12,True,0.008,20,0.02,0.01,250,12000,0.08969682876841692,10,2,4,0.17939365753683384,20,"['Repair' 'Repair' 'Misrepair_a2-b1' 'Misrepair_a1-b2' 'Misrepair_a1-b1'
 'Misrepair_a2-b2' 'Misrepair_a2-b2' 'Misrepair_a2-b2' 'Misrepair_a2-b2'
 'Repair' 'Misrepair_a1-b2' 'Repair' 'Misrepair_a2-b1' 'Misrepair_a1-b1'
 'Misrepair_a2-b1' 'Misrepair_a1-b2' 'Repair' 'Repair' 'Misrepair_a2-b2'
 'Misrepair_a2-b2']","[ 3.82  7.    2.6   0.58  1.46  1.64  2.1   0.68  1.9  11.68 12.    0.8
 24.02  2.96 22.96  8.18 16.48  2.14  5.42  8.82]",6.861999999999999,3.077962557744977,0.2538075843879795,0.24182451132221283,"Counter({'Repair': 6, 'Misrepair_a2-b2': 6, 'Misrepair_a2-b1': 3, 'Misrepair_a1-b2': 3, 'Misrepair_a1-b1': 2})",0.3,0.20084023501280812,0.0,"[0.31947112 0.95561218 0.406129   0.29067368 0.38841504 1.77154735
 0.24475958 0.74202162 0.75975568 0.47529159 0.22274673 0.81994263
 0.5380202  0.80955691 0.27721657 0.79446945 0.75066613 0.39306955
 1.21741451 0.47535198]",0.6326065750235048
0_5,100,3,0.2,12,True,0.008,20,0.0194,0.01,250,12000,0.08824665105095017,10,2,5,0.17649330210190034,20,"['Misrepair_a2-b2' 'Misrepair_a1-b2' 'Misrepair_a2-b1' 'Repair'
 'Misrepair_a1-b2' 'Repair' 'Misrepair_a2-b2' 'Misrepair_a2-b2' 'Repair'
 'Repair' 'Misrepair_a1-b2' 'Misrepair_a1-b2' 'Misrepair_a2-b2'
 'Misrepair_a1-b1' 'Misrepair_a1-b1' 'Misrepair_a2-b2' 'Misrepair_a1-b1'
 'Misrepair_a1-b2' 'Misrepair_a1-b1' 'Misrepair_a1-b2']","[ 5.0246  1.4744 22.504  19.4     1.1058  9.6418  4.3456  5.5678 32.3592
  4.8112 18.527  15.1708  1.5908  0.9894  3.7442  5.8006  7.3138 37.6942
  0.097  16.3348]",10.674850000000003,4.608352618950069,0.14188976500708156,0.16011062613826701,"Counter({'Misrepair_a1-b2': 6, 'Misrepair_a2-b2': 5, 'Repair': 4, 'Misrepair_a1-b1': 4, 'Misrepair_a2-b1': 1})",0.2,0.17530772943598352,0.0,"[0.31054628 0.39059204 0.36189897 0.63685845 0.49930822 0.61061268
 0.49551672 0.34185371 0.14679193 0.16437161 0.5350488  0.4228625
 0.30272925 0.90700033 0.2372774  0.84244458 0.432848   0.12548266
 1.63509347 0.18631113]",0.479272436090621
1_0,100,3,0.2,12,False,0.008,20,0.0233,0.01,250,12000,0.09683253245280515,10,2,0,0.1936650649056103,20,"['Repair' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Repair' 'Repair' 'Repair'
 'Repair' 'Misrepair_a2-b2' 'Repair' 'Misrepair_a2-b2' 'Misrepair_a2-b1'
 'Misrepair_a2-b2' 'Misrepair_a2-b1' 'Misrepair_a2-b2' 'Misrepair_a2-b1'
 'Misrepair_a1-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b2' 'Misrepair_a1-b1'
 'Repair']","[4.510880e+01 1.501219e+02 5.452200e+01 1.388680e+01 1.144030e+01
 1.491200e+00 6.020720e+01 1.631000e-01 2.330000e-02 3.665090e+01
 3.231710e+01 1.850020e+01 4.014590e+01 3.961000e+00 4.357100e+00
 1.120730e+01 2.514070e+01 1.561100e+00 1.099760e+01 1.575080e+01]",26.877715000000002,14.717017845943493,0.04465756726061645,0.04426106228036349,"Counter({'Repair': 7, 'Misrepair_a2-b1': 6, 'Misrepair_a2-b2': 5, 'Misrepair_a1-b1': 2})",0.35,0.2090411442754751,1.05,"[0.35355955 2.44666483 0.35649802 0.63538349 0.32898225 0.48286354
 0.33636724 1.71745248 0.49210115 0.10525858 0.12203007 0.36733815
 0.32152315 0.48211839 0.43218339 1.14552599 0.80980061 1.71844976
 1.54018117 0.43065537]",0.7312468597547642
1_1,100,3,0.2,12,False,0.008,20,0.0224,0.01,250,12000,0.09480361253917813,10,2,1,0.18960722507835626,20,"['Repair' 'Misrepair_a2-b1' 'Repair' 'Repair' 'Misrepair_a1-b1' 'Repair'
 'Misrepair_a2-b2' 'Repair' 'Repair' 'Misrepair_a1-b2' 'Misrepair_a2-b1'
 'Repair' 'Misrepair_a2-b1' 'Repair' 'Misrepair_a1-b1' 'Misrepair_a1-b1'
 'Misrepair_a1-b1' 'Repair' 'Repair' 'Repair']","[0.00000e+00 7.46144e+01 1.46048e+01 2.68800e+00 1.61280e+01 3.44960e+01
 4.61888e+01 2.91200e+00 1.79872e+01 1.53664e+01 1.36416e+01 1.70240e+00
 3.57280e+01 1.38208e+01 3.76992e+01 1.65088e+01 2.38336e+01 6.37280e+01
 1.18720e+00 4.48000e-02]",21.644000000000002,9.062320491383984,0.03518701960843029,0.031050803360824022,"Counter({'Repair': 11, 'Misrepair_a1-b1': 4, 'Misrepair_a2-b1': 3, 'Misrepair_a2-b2': 1, 'Misrepair_a1-b2': 1})",0.55,0.2180362355206125,2.05,"[0.82559025 0.29604645 0.9013863  0.99954128 2.86649305 0.21022227
 0.16027288 1.77919976 0.22161486 0.62444961 0.37682669 0.38041013
 0.34984055 0.44558808 0.42947814 0.39069042 1.66077821 0.52915463
 0.69272953 0.77402992]",0.7457171491974217
1_2,100,3,0.2,12,False,0.008,20,0.021500000000000002,0.01,250,12000,0.09295552008465498,10,2,2,0.18591104016930995,20,"['Misrepair_a2-b1' 'Repair' 'Misrepair_a2-b1' 'Repair' 'Repair'
 'Misrepair_a1-b1' 'Misrepair_a1-b1' 'Repair' 'Repair' 'Misrepair_a2-b1'
 'Repair' 'Repair' 'Misrepair_a2-b1' 'Repair' 'Repair' 'Misrepair_a1-b1'
 'Repair' 'Repair' 'Misrepair_a2-b1' 'Misrepair_a1-b2']","[5.04390e+01 1.29000e-01 6.98750e+00 2.07260e+01 2.15000e-02 0.00000e+00
 2.06615e+01 1.43405e+01 8.90100e+00 1.11800e+00 1.18895e+01 1.08575e+01
 2.54990e+01 0.00000e+00 1.09220e+01 3.01000e-01 5.59000e-01 2.79500e+00
 1.39965e+01 9.35250e+00]",10.474799999999998,5.242239373420562,0.07695140395588601,0.07180793885945595,"Counter({'Repair': 11, 'Misrepair_a2-b1': 5, 'Misrepair_a1-b1': 3, 'Misrepair_a1-b2': 1})",0.55,0.2180362355206125,3.05,"[0.26150986 0.39901259 1.73681289 1.16536138 0.43059222 0.54272771
 0.69745372 0.39514931 0.89935211 0.9406047  0.47565208 0.60336953
 0.30200913 0.58630829 0.47354263 0.55899661 0.48980243 0.62236526
 0.3517463  0.72790312]",0.6330135934949186
1_3,100,3,0.2,12,False,0.008,20,0.0207,0.01,250,12000,0.09126056915128658,10,2,3,0.18252113830257316,20,"['Misrepair_a2-b1' 'Misrepair_a2-b1' 'Repair' 'Misrepair_a1-b1' 'Repair'
 'Repair' 'Misrepair_a1-b2' 'Repair' 'Repair' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Repair' 'Repair' 'Misrepair_a1-b1' 'Misrepair_a1-b1'
 'Misrepair_a2-b1']","[2.07000e-02 5.63040e+00 9.43506e+01 6.70680e+00 1.09917e+01 0.00000e+00
 2.94975e+01 5.63040e+00 1.15920e+00 2.60820e+00 9.73728e+01 5.58900e-01
 1.64565e+01 5.89950e+01 4.07790e+00 5.24538e+01 6.25140e+00 1.19646e+01
 8.54910e+00 9.72900e-01]",20.71242,13.03315126834268,0.2002167248544151,0.20504848412702034,"Counter({'Misrepair_a2-b1': 9, 'Repair': 7, 'Misrepair_a1-b1': 3, 'Misrepair_a1-b2': 1})",0.35,0.2090411442754751,3.9,"[0.47955869 2.48379007 0.38672053 0.41594121 0.23574932 0.58553791
 0.21426057 0.5306831  2.09727121 0.28130885 0.16136697 0.32668605
 0.62064197 0.27547159 0.349456   0.41491816 0.51450532 0.31464209
 0.35952025 0.81129637]",0.5929663114404093
