experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,numSteps,excludedVolumeCutOff,waitingSteps,encounterDistance,genomicDistance,Nb,Nc_inDamageFoci,iterationsNumber,polymerMSD,A1_MSD,A2_MSD,B1_MSD,B2_MSD,polymerAlpha,A1_Alpha,A2_Alpha,B1_Alpha,B2_Alpha,polymer_MSDamplitude,A1_MSDamplitude,A2_MSDamplitude,B1_MSDamplitude,B2_MSDamplitude
0_0,100,3,0.2,20,False,0.008,100,0.005,0.01,12000,0,404,0.05,2,2,2,100,"[2.40764724e-04 4.82603253e-04 7.19748492e-04 ... 1.32394132e+00
 1.32442288e+00 1.32429526e+00]","[2.45991459e-04 4.38419999e-04 6.38262462e-04 ... 1.21389899e+00
 1.21145790e+00 1.21300704e+00]","[2.61520335e-04 4.73510960e-04 6.62558221e-04 ... 1.02838040e+00
 1.02781440e+00 1.02954639e+00]","[2.32847954e-04 4.81911894e-04 6.30217513e-04 ... 9.81951457e-01
 9.83143351e-01 9.83998044e-01]","[2.27548849e-04 4.56842820e-04 6.78203837e-04 ... 1.21084312e+00
 1.21112134e+00 1.21070497e+00]",0.9323833933987837,0.7750146416641464,0.8635803188285623,0.8213829762422685,0.7342972347515816,0.029583734899643038,0.052417824213895944,0.02734143537711706,0.03373233199577671,0.05749082749779705
0_1,100,3,0.2,25,False,0.008,100,0.005,0.01,12000,0,323,0.05,2,2,2,100,"[2.36436461e-04 4.75942025e-04 7.17627176e-04 ... 1.29541478e+00
 1.29568792e+00 1.29585348e+00]","[2.43358358e-04 4.47377754e-04 7.35784506e-04 ... 1.25335602e+00
 1.25458924e+00 1.25468522e+00]","[2.02271910e-04 4.58656040e-04 6.73357386e-04 ... 1.16146237e+00
 1.16632374e+00 1.16612546e+00]","[2.44359096e-04 4.87957511e-04 6.57752682e-04 ... 1.20346463e+00
 1.20470773e+00 1.20693632e+00]","[2.49001776e-04 4.93140857e-04 7.34671217e-04 ... 1.26353981e+00
 1.25920733e+00 1.25956505e+00]",0.8690184777618639,0.797744890738362,0.8237246207597549,0.797694830497397,0.7875746009902822,0.037104839619405375,0.04895963554520011,0.04140370683373854,0.04725201030994531,0.048594626076953265
0_2,100,3,0.2,30,False,0.008,100,0.005,0.01,12000,0,270,0.05,2,2,2,100,"[2.41579549e-04 4.81892665e-04 7.17882174e-04 ... 1.61438170e+00
 1.61453508e+00 1.61454367e+00]","[2.43118474e-04 5.58874651e-04 7.86167878e-04 ... 1.50119294e+00
 1.50319223e+00 1.50178318e+00]","[2.38439867e-04 4.91265035e-04 6.93930838e-04 ... 1.40090528e+00
 1.40325191e+00 1.40147755e+00]","[2.09218927e-04 4.12358505e-04 7.21621759e-04 ... 1.43911836e+00
 1.43821934e+00 1.43679261e+00]","[2.38952861e-04 4.83589527e-04 7.67426870e-04 ... 1.69891102e+00
 1.69414055e+00 1.69356851e+00]",0.8862543184761253,0.7602439799472517,0.939329983232088,0.9316979276445787,0.8360306474416062,0.04342686849177442,0.06825558786825807,0.028785085090990987,0.03086331056604278,0.055566422226806626
0_3,100,3,0.2,35,False,0.008,100,0.005,0.01,12000,0,231,0.05,2,2,2,100,"[2.41420080e-04 4.81813649e-04 7.19717616e-04 ... 1.66143500e+00
 1.66134907e+00 1.66152419e+00]","[2.22842896e-04 4.91107561e-04 7.45786871e-04 ... 1.84557491e+00
 1.84480976e+00 1.84373282e+00]","[2.02496525e-04 4.33699390e-04 6.46304723e-04 ... 1.64673769e+00
 1.64583757e+00 1.64580300e+00]","[2.51286000e-04 4.76335245e-04 7.63892564e-04 ... 1.58948486e+00
 1.58980006e+00 1.59210742e+00]","[2.54600138e-04 5.32688542e-04 7.47426338e-04 ... 1.75063867e+00
 1.75427206e+00 1.75069089e+00]",0.8821315904076658,0.820931946012207,0.9843282318528058,1.0092095787554396,0.8745478264134245,0.044998887393988045,0.06407736828714929,0.02827894582399265,0.025531818510466712,0.04758178296854689
0_4,100,3,0.2,40,False,0.008,100,0.005,0.01,12000,0,202,0.05,2,2,2,100,"[2.39587700e-04 4.82403092e-04 7.19997552e-04 ... 2.03489325e+00
 2.03492934e+00 2.03548644e+00]","[2.74166012e-04 5.10533186e-04 7.42003662e-04 ... 1.79657659e+00
 1.79834679e+00 1.80122624e+00]","[2.43122791e-04 4.72039248e-04 8.07706995e-04 ... 1.88038489e+00
 1.87985442e+00 1.88462776e+00]","[2.24912270e-04 4.39848321e-04 6.50432333e-04 ... 1.86742229e+00
 1.87060621e+00 1.87197800e+00]","[2.38610013e-04 5.00948740e-04 7.02118622e-04 ... 2.08665802e+00
 2.08818623e+00 2.08955868e+00]",0.9097178534525387,0.9372763868147166,1.04330676983759,1.0262333300237618,0.913458308573172,0.049208420887246807,0.03919395309393276,0.026087171345400516,0.02823712865735368,0.050686742231185
1_0,100,3,0.2,20,False,0.008,100,0.005,0.01,12000,0,404,0.05,4,2,2,100,"[2.41975988e-04 4.78137741e-04 7.18232456e-04 ... 1.27327638e+00
 1.27370066e+00 1.27378001e+00]","[2.59003483e-04 4.64861448e-04 7.62737334e-04 ... 1.13115863e+00
 1.13379629e+00 1.13797324e+00]","[2.21325280e-04 4.05977797e-04 6.34472053e-04 ... 1.20430583e+00
 1.20510749e+00 1.20596290e+00]","[2.55773525e-04 4.58931360e-04 6.90521738e-04 ... 1.26298228e+00
 1.26189833e+00 1.26070398e+00]","[2.30936198e-04 5.01008672e-04 7.39490936e-04 ... 1.58133483e+00
 1.58397583e+00 1.58246075e+00]",0.9047434300330064,0.8120326803051842,0.9156607529908114,0.927199655757954,0.8071289998495119,0.03158806337175138,0.04035584736704107,0.0271410720956794,0.027926430282866142,0.05820977834036379
1_1,100,3,0.2,25,False,0.008,100,0.005,0.01,12000,0,323,0.05,4,2,2,100,"[2.41890196e-04 4.81755921e-04 7.20292523e-04 ... 1.27441993e+00
 1.27447480e+00 1.27457112e+00]","[2.53952967e-04 4.61790573e-04 7.03531916e-04 ... 1.08173895e+00
 1.08002218e+00 1.07877149e+00]","[2.13895488e-04 4.83995926e-04 6.49892583e-04 ... 1.15515249e+00
 1.15436508e+00 1.15136466e+00]","[2.58559707e-04 4.68098940e-04 6.41423415e-04 ... 1.36937969e+00
 1.36897496e+00 1.37226393e+00]","[2.22816279e-04 5.08591246e-04 7.95854448e-04 ... 1.28355316e+00
 1.28053401e+00 1.28528909e+00]",0.8924948350940854,0.8219722730772021,0.8480484928162286,0.8885486357326534,0.7744435112690214,0.03330544960594842,0.036549770366940515,0.03551954561687635,0.036966878202074276,0.05322317764946486
1_2,100,3,0.2,30,False,0.008,100,0.005,0.01,12000,0,270,0.05,4,2,2,100,"[2.42009915e-04 4.82317500e-04 7.12495789e-04 ... 1.70380819e+00
 1.70403781e+00 1.70408542e+00]","[2.52095516e-04 5.34212365e-04 7.78388993e-04 ... 1.65343387e+00
 1.65709250e+00 1.65972425e+00]","[3.06868400e-04 5.04222306e-04 7.06590466e-04 ... 1.71090743e+00
 1.71122040e+00 1.71074101e+00]","[2.20038855e-04 4.62248512e-04 7.09601440e-04 ... 1.80000477e+00
 1.79988925e+00 1.80012210e+00]","[2.47887686e-04 5.01524781e-04 7.14421562e-04 ... 1.80057752e+00
 1.80269521e+00 1.80651674e+00]",0.8997718902971968,0.7735645458622729,0.8018101366442425,0.8458086648774247,0.982239462850124,0.04347685567283368,0.06867286148059623,0.06357693704194393,0.05792231716510159,0.032400910899691875
1_3,100,3,0.2,35,False,0.008,100,0.005,0.01,12000,0,231,0.05,4,2,2,100,"[2.40005297e-04 4.77913726e-04 7.14271392e-04 ... 1.56634224e+00
 1.56673387e+00 1.56687784e+00]","[2.58498108e-04 4.37539701e-04 6.78791056e-04 ... 1.58605441e+00
 1.59004474e+00 1.59120412e+00]","[2.58301186e-04 4.54571580e-04 7.58384029e-04 ... 1.48692231e+00
 1.48534467e+00 1.48517358e+00]","[2.38544566e-04 4.86256983e-04 7.01087825e-04 ... 1.53970432e+00
 1.54282620e+00 1.54411873e+00]","[2.50351547e-04 4.90639784e-04 7.53656500e-04 ... 1.80012326e+00
 1.79626128e+00 1.79700035e+00]",0.8428956857114953,0.7942015349819238,0.8579115266877521,0.8334016936252416,0.7512021768006041,0.050685114096878134,0.06306545798307196,0.045624174787846014,0.050587182759087086,0.08205580507619842
1_4,100,3,0.2,40,False,0.008,100,0.005,0.01,12000,0,202,0.05,4,2,2,100,"[2.41295284e-04 4.80622838e-04 7.20475153e-04 ... 1.87291408e+00
 1.87298122e+00 1.87315698e+00]","[2.40139495e-04 5.00213638e-04 7.50927773e-04 ... 1.85051101e+00
 1.84673967e+00 1.84321927e+00]","[2.45867256e-04 4.26659534e-04 7.11351860e-04 ... 1.94014994e+00
 1.94175075e+00 1.94136825e+00]","[2.67897667e-04 4.85957698e-04 6.69174356e-04 ... 1.93891056e+00
 1.94258476e+00 1.94720545e+00]","[2.56353625e-04 4.29161143e-04 6.45996587e-04 ... 2.13157292e+00
 2.13326410e+00 2.13770395e+00]",0.8933695796933709,0.8101040657362943,1.0038530878491432,0.915630401097614,0.9036756991066274,0.048779477149793846,0.06813220883894144,0.03180322092480302,0.046317409949019464,0.05368116713318663
2_0,100,3,0.2,20,False,0.008,100,0.005,0.01,12000,0,404,0.05,20,2,2,100,"[2.40712444e-04 4.78297518e-04 7.20238702e-04 ... 1.13013762e+00
 1.13008651e+00 1.13005465e+00]","[2.41397259e-04 4.40345456e-04 6.85319189e-04 ... 8.86120436e-01
 8.90112743e-01 8.92279193e-01]","[2.43063172e-04 5.30225945e-04 7.41171626e-04 ... 9.29928448e-01
 9.28937244e-01 9.28622401e-01]","[2.15369570e-04 4.54100255e-04 7.39348151e-04 ... 1.28852765e+00
 1.28955751e+00 1.29252611e+00]","[2.22091113e-04 4.36057429e-04 6.74137387e-04 ... 1.63251750e+00
 1.63644391e+00 1.64230255e+00]",0.8886016926563225,0.7173640993867318,0.9207359126885185,0.8871263276808574,0.8500899016765076,0.030159929561994175,0.04846015854053949,0.021401337758470695,0.03598032452028421,0.05216276098212752
2_1,100,3,0.2,25,False,0.008,100,0.005,0.01,12000,0,323,0.05,20,2,2,100,"[2.41167544e-04 4.77100732e-04 7.19016649e-04 ... 1.49858470e+00
 1.49862073e+00 1.49884506e+00]","[2.46271827e-04 4.36428903e-04 6.87290590e-04 ... 1.29230727e+00
 1.29509062e+00 1.29670502e+00]","[2.03652990e-04 4.16154110e-04 6.22396083e-04 ... 1.58853022e+00
 1.58894256e+00 1.58966940e+00]","[2.67239997e-04 4.63723157e-04 7.27570181e-04 ... 1.73521422e+00
 1.73487983e+00 1.73381578e+00]","[2.25658655e-04 4.69065177e-04 7.35488011e-04 ... 1.67025203e+00
 1.66940210e+00 1.67451722e+00]",0.90538330165002,0.7950325110133617,0.7657851645839302,0.9570615954246594,0.9168304149542422,0.03741359379560742,0.04740813209824357,0.07252550199960267,0.03455385388507811,0.03832560704753153
2_2,100,3,0.2,30,False,0.008,100,0.005,0.01,12000,0,270,0.05,20,2,2,100,"[2.44255829e-04 4.79065202e-04 7.10866367e-04 ... 1.67421355e+00
 1.67448656e+00 1.67472231e+00]","[2.12883482e-04 4.51600186e-04 6.58905993e-04 ... 1.39838297e+00
 1.39928802e+00 1.39607432e+00]","[2.46176236e-04 4.92311188e-04 7.92084235e-04 ... 1.48225392e+00
 1.48286039e+00 1.48623651e+00]","[2.48493344e-04 5.22292873e-04 8.33876865e-04 ... 1.98719532e+00
 1.98415972e+00 1.98174387e+00]","[2.66721710e-04 4.69064685e-04 6.37206978e-04 ... 1.81162446e+00
 1.81533661e+00 1.81486169e+00]",0.9004094605957247,0.8120349724865923,0.8797408339618726,0.9083332009560416,0.929257504696472,0.042444704954825906,0.05043330748056113,0.04062931183508921,0.047650242331391944,0.040391471952149476
2_3,100,3,0.2,35,False,0.008,100,0.005,0.01,12000,0,231,0.05,20,2,2,100,"[2.42717077e-04 4.82194730e-04 7.09722775e-04 ... 1.75687615e+00
 1.75701439e+00 1.75739161e+00]","[2.51577854e-04 5.38100851e-04 7.27034440e-04 ... 1.68551074e+00
 1.68433586e+00 1.68446882e+00]","[2.40526561e-04 5.14725624e-04 7.13019546e-04 ... 1.71149012e+00
 1.71261000e+00 1.71366183e+00]","[2.19277352e-04 4.65649314e-04 6.43748228e-04 ... 2.19959114e+00
 2.19770517e+00 2.19565379e+00]","[2.28945447e-04 4.62909575e-04 7.12658350e-04 ... 2.40221071e+00
 2.40312498e+00 2.40647270e+00]",0.8857219327257302,0.9013602494585133,0.7103215311941086,0.91828646647406,0.8581328994762725,0.047007632661597354,0.04256125036311441,0.0934317338322176,0.052054057130819543,0.0716663749405632
2_4,100,3,0.2,40,False,0.008,100,0.005,0.01,12000,0,202,0.05,20,2,2,100,"[2.42038061e-04 4.81008172e-04 7.21321750e-04 ... 1.81003884e+00
 1.81020265e+00 1.81021570e+00]","[2.39816489e-04 4.49921923e-04 5.91684842e-04 ... 1.93689964e+00
 1.93799427e+00 1.93853038e+00]","[1.98640560e-04 4.44433542e-04 7.05006549e-04 ... 1.84569535e+00
 1.84447159e+00 1.84331585e+00]","[2.56686389e-04 4.95603863e-04 7.61156564e-04 ... 2.46023802e+00
 2.46370388e+00 2.46025248e+00]","[2.34881937e-04 5.19954284e-04 7.39480068e-04 ... 2.61714507e+00
 2.61766662e+00 2.61826473e+00]",0.9285910629466826,0.9095322667594282,0.9551911953668961,0.9026887759125632,1.0004406303840196,0.04032358801887636,0.045861917305530756,0.03669410226543042,0.0618545769306268,0.04453281332851333
