experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,numSteps,excludedVolumeCutOff,waitingSteps,encounterDistance,genomicDistance,Nb,Nc_inDamageFoci,distanceThreshold,iterationsNumber,a1-a2_ComebackRate,a1-a2_ComebackAmplitude,a1-a2_meanComebackTime,a1-a2_stdComebackTime,a1-a2_meanComebackTime_dx,a1-a2_TakeoffRate,a1-a2_TakeoffAmplitude,a1-a2_meanTakeoffTime,a1-a2_stdTakeoffTime,a1-a2_meanTakeoffTime_dx,a1-b1_ComebackRate,a1-b1_ComebackAmplitude,a1-b1_meanComebackTime,a1-b1_stdComebackTime,a1-b1_meanComebackTime_dx,a1-b1_TakeoffRate,a1-b1_TakeoffAmplitude,a1-b1_meanTakeoffTime,a1-b1_stdTakeoffTime,a1-b1_meanTakeoffTime_dx,a1-b2_ComebackRate,a1-b2_ComebackAmplitude,a1-b2_meanComebackTime,a1-b2_stdComebackTime,a1-b2_meanComebackTime_dx,a1-b2_TakeoffRate,a1-b2_TakeoffAmplitude,a1-b2_meanTakeoffTime,a1-b2_stdTakeoffTime,a1-b2_meanTakeoffTime_dx,a2-b1_ComebackRate,a2-b1_ComebackAmplitude,a2-b1_meanComebackTime,a2-b1_stdComebackTime,a2-b1_meanComebackTime_dx,a2-b1_TakeoffRate,a2-b1_TakeoffAmplitude,a2-b1_meanTakeoffTime,a2-b1_stdTakeoffTime,a2-b1_meanTakeoffTime_dx,a2-b2_ComebackRate,a2-b2_ComebackAmplitude,a2-b2_meanComebackTime,a2-b2_stdComebackTime,a2-b2_meanComebackTime_dx,a2-b2_TakeoffRate,a2-b2_TakeoffAmplitude,a2-b2_meanTakeoffTime,a2-b2_stdTakeoffTime,a2-b2_meanTakeoffTime_dx,b1-b2_ComebackRate,b1-b2_ComebackAmplitude,b1-b2_meanComebackTime,b1-b2_stdComebackTime,b1-b2_meanComebackTime_dx,b1-b2_TakeoffRate,b1-b2_TakeoffAmplitude,b1-b2_meanTakeoffTime,b1-b2_stdTakeoffTime,b1-b2_meanTakeoffTime_dx
0_0,100,3,0.2,5,False,0.008,800,0.005,0.01,15000,0,250,0.05,3,2,0,0.05,800,2.5966834540478057,3.4794517923803467,2.2800226449275365,7.567713819822096,0.44641238521304155,238.35898266291045,586.131619546273,0.0173206106870229,0.018659163549309646,0.0010104448037838805,2.2108347986740813,2.740467800795598,2.811955252918288,8.756743603136478,0.5353060450987139,-1,-1,0.016577235772357726,0.017189526084019646,0.000960654936884311,2.9591875725163703,4.278455764234325,2.0378527607361963,7.090365843688111,0.5442531078480265,-1,-1,0.016534591194968553,0.016535754998981377,0.001149467075048289,2.128333710700336,2.4601914056171323,2.8177312457247092,6.948577122773998,0.11873356728983445,172.1835705423963,338.2513213906532,0.01710762171076217,0.018506995648116947,0.00030715075963907204,2.5226512289569722,3.488268944054411,2.2706033820138356,7.289621161132096,0.39611599725240226,247.09668047804038,640.574185123753,0.016937500000000005,0.018649627174557672,0.0009375715740222043,2.1817822655818966,2.823648719442842,2.3801813953488375,7.980983773342203,0.4770987371907018,-1,-1,0.01648334624322231,0.017991399786064177,0.0009814267800240931
0_1,100,3,0.2,5,False,0.008,800,0.005,0.01,15000,0,250,0.05,12,2,0,0.05,800,2.394627918733988,3.1766685025559536,2.2734598459845983,7.919806127113967,0.5148594402011141,-1,-1,0.01650765076507651,0.017434451883638197,0.001025197031891081,2.7522406348458377,4.343571469003288,1.746163663663664,6.28066892431673,0.47700711569322213,326.2633647578209,1234.5249767362168,0.016345679012345682,0.018305811324348505,0.0012606732675155491,2.2301592388139215,3.021229069156044,2.193211920529801,7.996490020794213,0.7363874357427538,-1,-1,0.016571428571428574,0.017620358702828003,0.0014594082704986978,2.8931949330199362,4.113970370073544,1.7715092592592592,6.343041086272143,0.3783046836011843,325.3284439698967,1172.9818209685411,0.017541415662650602,0.018472295319787453,0.0009935229347828702,2.79130157586185,4.1041639794307825,1.763647234678625,6.0519955819784,0.45860798780491324,259.9997195537487,698.3693530195023,0.016878751500600243,0.017984745900788232,0.0012213436446868444,2.346191581973983,3.3546190755068386,2.255117508813161,8.194795695099973,0.5505913978678654,281.2308578167627,836.1248339561884,0.016534416826003824,0.017200378541853197,0.001042385193778419
0_2,100,3,0.2,5,False,0.008,800,0.005,0.01,15000,0,250,0.05,30,2,0,0.05,800,2.4332761228391133,3.2306222121179724,2.336415662650603,8.188873395275511,0.5571102923119933,334.26394112812676,1313.7265541670833,0.01584720861900098,0.01653779586318279,0.0010144270637234439,3.841443124876778,6.88024290064869,2.543246153846154,7.628765864563636,0.8294088727178366,378.92740573796556,1792.3060137542152,0.01720588235294118,0.019526547155841362,0.0018947479435391004,2.818750572486619,3.6402682689478096,2.2594225721784778,7.5665169096663885,0.7597830322272363,-1,-1,0.01727078891257996,0.018235407450306204,0.0016503844445001528,3.769827743566375,5.325417450834821,1.830205655526992,6.304629390946914,0.6265285023797066,-1,-1,0.017474747474747476,0.017328870890810297,0.0015265946565070705,3.629217853374968,4.845914580116892,1.8564010282776353,5.955752282282791,0.5918585100848754,294.19391388214365,978.5388316038047,0.016680584551148226,0.01766790193372489,0.0015822434069049454,2.4600173065602715,3.592472124028271,2.4342479253112037,8.857565994225503,0.559154663238376,297.4647085740478,945.6716203453194,0.016897872340425536,0.01855337887861643,0.0010608650733355477
1_0,100,3,0.2,10,False,0.008,800,0.005,0.01,15000,0,250,0.05,3,2,0,0.05,800,2.7066429359456325,3.7363919517424926,2.644910641754671,8.178160850618868,0.45685953462091583,349.51486307412677,1430.015779969534,0.016693548387096777,0.017600179046325423,0.0008942762389926573,2.418693490626152,3.4183861828049626,2.351326616288833,7.704859181004885,0.4375874886394388,277.68766843087195,805.6481688042645,0.017053258584442888,0.019150383221716482,0.0009936228126335286,2.6881067089791397,3.788281025179855,1.7162511848341233,6.102045263403232,0.3682182132924018,236.11787176954493,575.4883196241461,0.017401129943502826,0.018276895412143713,0.0010177071947497982,2.182011284498311,2.5551413339356497,2.7583938743804097,6.941870353116881,0.11702870867892906,141.0442080316749,247.0327525888936,0.01693859710469264,0.017858184550941365,0.0002927120120862246,3.0003410951174367,4.3196917879907595,2.3683012583271648,7.2811206203491725,0.38826355130476436,285.86377265276275,864.0136034930189,0.01724904701397713,0.018087363409352478,0.0008935708067883922,2.39220526148539,3.2817991037300613,2.9234959647835654,9.382022439749424,0.4980863163787166,274.4746010542887,778.0427641207575,0.017164179104477612,0.01799614138984092,0.0008796146334636862
1_1,100,3,0.2,10,False,0.008,800,0.005,0.01,15000,0,250,0.05,12,2,0,0.05,800,2.472780685378321,3.463947810807515,2.147061769616027,6.672175298322388,0.37782884471815564,142.74904576713027,256.91092170986167,0.016498973305954828,0.018251180162303975,0.0009358837693430341,2.2274821837324854,2.801364915452667,2.046302742616034,7.079687971093892,0.45067764865359755,295.69150371874775,940.8668826430871,0.016291702309666384,0.016935936491238007,0.0009708631832099087,2.6545706474406443,3.549847219797292,1.9989081145584726,6.7345786293535905,0.4559786305447666,352.0772600290166,1473.3004836192783,0.016347695390781566,0.0175707088450647,0.0010901344971699606,2.348970373113182,3.2366922574631523,2.172332317073171,7.421470650120631,0.4015865215101273,296.45606551138076,918.7319754301883,0.017857590966122962,0.01882376619782376,0.0009240988564947061,3.030466209522908,4.060593462643314,2.207367149758454,6.910580154234491,0.42101774914151185,299.99453718615325,944.7888567569659,0.01809910641754671,0.019111071918543946,0.0010676086692709317,2.566071962347284,3.6829355176890792,2.164768292682927,7.712933587130285,0.4310454920118936,-1,-1,0.01705683355886333,0.01752047373752155,0.000893232876135128
1_2,100,3,0.2,10,False,0.008,800,0.005,0.01,15000,0,250,0.05,30,2,0,0.05,800,2.3432859234510426,3.1107691159281066,2.215902716914987,8.070057079785233,0.46826301346166355,-1,-1,0.016378437047756874,0.017950306815723193,0.0009463982444132891,3.1760983793019437,4.254084477124752,1.7677735368956744,5.9091538838495925,0.4131141761475425,369.39931281608483,1708.807688815952,0.016098204857444565,0.017395270174497948,0.0011079298420443961,2.6607026768977646,3.9037344884762133,2.2600986842105266,6.975064706132489,0.4959038911534095,326.5113721918378,1212.171910317347,0.01676148796498906,0.017964346052027295,0.0011646471972731262,2.92956880452853,3.9501348398786598,2.4707579787234044,7.986244542059468,0.5708076111915293,-1,-1,0.01606832971800434,0.01745998509228285,0.0011270274123503603,2.6783284871921604,3.943872556045164,2.09125,7.379269407612896,0.5246415004418801,339.52004141492887,1318.6079098005646,0.017603036876355754,0.019607114768946284,0.001265622834435813,2.3504711372412905,3.295249649357657,2.1559879336349925,7.641649801820965,0.4113120570776391,347.7394141282312,1368.2353391718443,0.017449044585987263,0.018254367308640867,0.000902969393892817
2_0,100,3,0.2,15,False,0.008,800,0.005,0.01,15000,0,250,0.05,3,2,0,0.05,800,2.3476426868074904,3.0960474475184916,2.6893212435233163,8.229188793079144,0.3671423156846418,214.4495249677129,484.0455638305888,0.01792920353982301,0.019549785239369618,0.0008060163335598978,2.333462455737851,3.0392269734216373,2.487559074912016,7.953091791365464,0.34952212711218705,268.52555181283253,756.6966883848823,0.016413230240549827,0.017564320584832854,0.0007135032220281807,2.2250943282583395,2.92433739982997,2.0091427432216906,7.138534237179363,0.3951084791650241,247.93585914091963,635.5680704500137,0.01736267372600927,0.019115367028911527,0.0009638434056525342,2.2735692492742166,2.6862010740442037,2.7767959431740485,6.950406232816741,0.11873775118102586,172.81231422987034,341.729101014448,0.01705791699519748,0.018569007970002813,0.0003081357616452204,2.3598196807223206,3.279863478389205,2.4286076280041793,7.615066076893136,0.3411605302581233,286.50288245751545,875.3022853837036,0.016498219056099737,0.01759573094520636,0.0007277102765883317,2.426769021977325,3.114541182362298,2.652747055811572,8.196075471978553,0.36350542656429635,279.20741282620236,819.1998261375162,0.017154756685664182,0.018508435827893396,0.0007595618546003256
2_1,100,3,0.2,15,False,0.008,800,0.005,0.01,15000,0,250,0.05,12,2,0,0.05,800,2.215592117130787,2.7744731747770146,2.463355145746579,7.8260217939233785,0.3741220174656054,-1,-1,0.016718828874305907,0.01765781066490211,0.0007775900404151878,2.728015507862744,3.7023765629954712,2.2020022539444026,7.2040582356825364,0.38702966897382,-1,-1,0.0170625,0.01836766435206175,0.0009000155532510257,2.224595249940337,2.943052079927179,2.3705775716694775,7.55321704404631,0.4298784668480434,235.18583211051984,593.1056423794414,0.01735418130709768,0.019369243621496546,0.001006389930940154,2.4086564555326495,3.4105360850647455,2.183500272182907,7.402256600023476,0.338505421776712,183.8125101867877,378.09712677127567,0.017196132596685083,0.018405280483711067,0.0007740492623034623,2.716674383351999,3.822441544390301,1.740169836956522,6.542144157304985,0.3342121821311543,187.92022263944108,394.9442487917886,0.016765042979942694,0.01769388976530616,0.000830197981178929,2.4869799637433796,3.4720976897964992,2.578336820083682,8.36268632468502,0.43283991478516937,193.65717532852807,412.52896908842627,0.016860803727431567,0.017771600375359804,0.0008406156334826411
2_2,100,3,0.2,15,False,0.008,800,0.005,0.01,15000,0,250,0.05,30,2,0,0.05,800,2.392257146493881,3.207028485239853,2.459290566037736,8.292772879140326,0.44652718407582664,252.8077812046204,674.7957046419598,0.0163929889298893,0.017417347957869082,0.0008465991514480298,2.993518732609445,4.197978562603623,2.298674211802749,7.349911290535746,0.4095937479706866,-1,-1,0.017127297481279783,0.017701041943598707,0.0009051988731130779,2.5901741466563446,3.6221663215277444,2.163591439688716,7.27759364228201,0.397916831546454,252.40209010190392,671.0336113913957,0.016474233529028052,0.017954211389094848,0.0008987757126581229,2.7762701404631533,3.7244682880426736,1.7134462729912878,6.169383609821858,0.37622503038220534,309.1897328733425,1066.0287073055167,0.016712816455696205,0.017477760560766248,0.0009635368301678071,2.4711013129325807,3.353625919976752,1.9639488409272583,6.550594776098133,0.3630012754978511,306.00433861066983,1058.676910168722,0.01591304347826087,0.017025039510553338,0.0008630254511074003,2.7213722521423023,4.025722489645215,2.281543427230047,7.826307134100285,0.3716021032460717,344.87667250281214,1402.188321438716,0.0166575682382134,0.017491773636627617,0.0007637520598743981
3_0,100,3,0.2,20,False,0.008,800,0.005,0.01,15000,0,250,0.05,3,2,0,0.05,800,2.4159932691812274,3.3432285759516844,2.507110726643599,7.619270798432771,0.31058148754606374,300.37842388292444,978.4804616551796,0.016698670605613,0.017055562549796538,0.0006423885476214381,2.895768012216689,3.8410152598642497,2.5465637945318975,7.627686917672551,0.30428482723771727,200.48625048813955,430.4777689631907,0.017626480086114105,0.019396844869085432,0.0007201428936431512,2.238500175252016,2.8423047376083788,2.3338109266202465,7.453844805803032,0.33811486026887166,301.5686961159681,990.8549621927122,0.01683492496589359,0.017722419826658342,0.000740741159507878,2.1762742909041637,2.534568933889824,2.7323681218735794,6.791673390204893,0.11588964275965913,167.11273713357065,322.1432086464396,0.017194834001144823,0.018503117953451727,0.00030676763821317024,2.403509307144442,3.1716269436742928,2.6625082101806243,8.377219189226796,0.3326728112747331,138.66710586993187,240.13900470760504,0.016893805309734517,0.01869473582232497,0.000689391902185596,2.662169661049843,3.559818683788927,2.412426294820717,7.673228555418577,0.3001907770021882,203.6108909963237,456.6732822370012,0.016503966885132806,0.018272615584445956,0.0006651700423236149
