experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,numSteps,excludedVolumeCutOff,waitingSteps,encounterDistance,genomicDistance,Nb,Nc_inDamageFoci,distanceThreshold,A1,B1,iterationsNumber,a1-a2_ComebackRate,a1-a2_ComebackAmplitude,a1-a2_meanComebackTime,a1-a2_stdComebackTime,a1-a2_meanComebackTime_dx,a1-a2_TakeoffRate,a1-a2_TakeoffAmplitude,a1-a2_meanTakeoffTime,a1-a2_stdTakeoffTime,a1-a2_meanTakeoffTime_dx,a1-b1_ComebackRate,a1-b1_ComebackAmplitude,a1-b1_meanComebackTime,a1-b1_stdComebackTime,a1-b1_meanComebackTime_dx,a1-b1_TakeoffRate,a1-b1_TakeoffAmplitude,a1-b1_meanTakeoffTime,a1-b1_stdTakeoffTime,a1-b1_meanTakeoffTime_dx,a1-b2_ComebackRate,a1-b2_ComebackAmplitude,a1-b2_meanComebackTime,a1-b2_stdComebackTime,a1-b2_meanComebackTime_dx,a1-b2_TakeoffRate,a1-b2_TakeoffAmplitude,a1-b2_meanTakeoffTime,a1-b2_stdTakeoffTime,a1-b2_meanTakeoffTime_dx,a2-b1_ComebackRate,a2-b1_ComebackAmplitude,a2-b1_meanComebackTime,a2-b1_stdComebackTime,a2-b1_meanComebackTime_dx,a2-b1_TakeoffRate,a2-b1_TakeoffAmplitude,a2-b1_meanTakeoffTime,a2-b1_stdTakeoffTime,a2-b1_meanTakeoffTime_dx,a2-b2_ComebackRate,a2-b2_ComebackAmplitude,a2-b2_meanComebackTime,a2-b2_stdComebackTime,a2-b2_meanComebackTime_dx,a2-b2_TakeoffRate,a2-b2_TakeoffAmplitude,a2-b2_meanTakeoffTime,a2-b2_stdTakeoffTime,a2-b2_meanTakeoffTime_dx,b1-b2_ComebackRate,b1-b2_ComebackAmplitude,b1-b2_meanComebackTime,b1-b2_stdComebackTime,b1-b2_meanComebackTime_dx,b1-b2_TakeoffRate,b1-b2_TakeoffAmplitude,b1-b2_meanTakeoffTime,b1-b2_stdTakeoffTime,b1-b2_meanTakeoffTime_dx
0,100,3,0.2,2,False,0.008,800,0.005,0.01,15000,0,250,0.05,30,2,0,0.05,30,59,800,2.5452799131817456,3.7892839285824804,2.0970239390642003,7.717285167347409,0.4989567062547469,284.80655358408876,884.5523981391599,0.016486486486486488,0.017599896482133465,0.0010185549784056446,2.189436872252225,2.740557580658175,2.2021164772727273,7.789741788123506,0.8137814794320509,-1,-1,0.01798823529411765,0.018780774974705355,0.0017855627428854982,4.260641733956247,7.32873459924624,1.9639783281733747,7.269376873753161,0.7927787401388544,462.6631032182581,3130.237725387984,0.01725515463917526,0.019167717416413155,0.0019072631005657577,3.155085448116448,4.352480304103322,1.4552624309392264,5.871636747459215,0.6048684968957037,353.6237422980424,1433.3320115280217,0.017567873303167423,0.018856475285244666,0.001757945686207127,3.3944106150574513,4.6281599679873775,1.3984154929577464,5.247060104749951,0.6102572397922802,-1,-1,0.018328690807799444,0.01887115191526833,0.001952123357256287,2.739624910605566,4.097892699255116,1.896881594372802,7.207937614884826,0.4837183635042644,-1,-1,0.0162406015037594,0.016886741418296745,0.0010146846969682525
1,100,3,0.2,3,False,0.008,800,0.005,0.01,15000,0,250,0.05,30,2,0,0.05,30,59,800,2.6882656432414254,3.7827915445133526,2.1681798941798944,7.368296646463387,0.4697937873396167,190.40187645507277,400.9223041519772,0.01718534482758621,0.01905154421431658,0.0010963702936112557,4.311563007974732,5.776247539228261,1.949022435897436,6.068222511164983,0.673349080772193,495.0266006765819,3430.4474060618254,0.016979695431472083,0.018366394878172026,0.0018135597890198123,4.102747948402396,5.159262654876769,1.297337398373984,4.594567524343922,0.5741602949832764,-1,-1,0.017377049180327873,0.020933277244872484,0.0023493264977003,3.4077938172645705,4.922761756269286,1.4654858934169281,5.725900334315621,0.6283541882699359,351.2804233812099,1440.9608085287791,0.015695121951219512,0.015989851220643003,0.0015477776310719607,3.1338156011460825,4.71738082355907,1.9384576271186442,6.631113903722115,0.7567136207612489,-1,-1,0.01701923076923077,0.01853055580141575,0.0019036794649400436,2.3060112540619397,3.157639435575525,1.7433939393939395,6.4656784113934425,0.4027657886512926,-1,-1,0.01599013968775678,0.016356290874521083,0.0009189578829044804
2,100,3,0.2,4,False,0.008,800,0.005,0.01,15000,0,250,0.05,30,2,0,0.05,30,59,800,3.0580106566960565,4.344586169092011,2.0055069124423968,7.351645649258155,0.4890809809194005,298.22129705279633,937.88942916272,0.017389255419415647,0.01839118948365585,0.0011066446743234347,3.243922046268869,5.796424664275292,1.8261789772727275,6.576324332087648,0.6870177587080797,-1,-1,0.017511520737327188,0.017184445490378265,0.0016167643690224059,2.204910289311261,2.824341727847736,1.7844272445820433,6.6936785064337405,0.7299946206373095,283.2789092770063,846.4645691562629,0.016700000000000003,0.01720421459991708,0.0016860130307918737,2.9532874194607106,4.426741602311858,1.9011586638830897,6.981146221925381,0.6251943566200237,-1,-1,0.01667238421955403,0.01729297666188102,0.0014037557536591273,2.777099707499327,4.136368126302593,1.4165706806282725,5.66155709012943,0.5677541023376445,317.32948073091984,1111.1158223052314,0.017070063694267515,0.01917107516353424,0.001731378769104635,2.406304983406472,3.5184766549847235,2.0835559921414544,7.782677056030028,0.47809168670023094,134.31726525983981,226.5818019686488,0.01688550840672538,0.019891310503548233,0.0011031593466564276
3,100,3,0.2,5,False,0.008,800,0.005,0.01,15000,0,250,0.05,30,2,0,0.05,30,59,800,2.4913877109871456,3.6278336972816834,2.300356359649123,8.57025982796561,0.5562277360791622,326.2799682979489,1241.4328478159478,0.01605614973262032,0.01730309294492306,0.0010124728437676052,2.6304992557253004,3.3753113161255466,1.6287909319899245,5.824672760755971,0.5729706142359157,287.3337339944098,879.9896717403442,0.01711065573770492,0.01906771929838855,0.0016917839881687565,3.4685569258213818,5.769626377985491,1.6385999999999998,6.535616826793524,0.6614956913284533,-1,-1,0.014912280701754387,0.014380213869715235,0.0013198938192327864,3.413049999748176,5.143450848657338,1.427948717948718,5.551226058224156,0.44984930250733357,675.6498586959802,10229.464185026362,0.017485915492957745,0.01774972164649547,0.0013056249592735562,3.272478983558594,4.595578239422302,2.0176912928759894,6.718796430509021,0.6764379258306848,-1,-1,0.016566523605150214,0.017459729125434992,0.001585260413328318,2.5388743121565884,3.4992578537725816,1.8390464177598385,6.968957721161669,0.43389742610952686,-1,-1,0.016690199335548175,0.017705495992271957,0.0010001172666033364
4,100,3,0.2,6,False,0.008,800,0.005,0.01,15000,0,250,0.05,30,2,0,0.05,30,59,800,2.5462161538284973,3.5468852935815316,1.9100000000000001,6.997962544657034,0.43725031982155305,360.3937351343156,1581.7926721831768,0.01681518151815182,0.018187386388563893,0.0010239412871061492,2.6698548492959775,3.475980142879183,1.9332543103448274,6.803606007933464,0.619064980048647,304.6065057182077,1038.7085344300299,0.016501798561151082,0.018125809245215917,0.0015066628528417351,2.681271359849025,3.7710136194856045,2.1480803571428573,7.01025736290316,0.749584150154589,227.93775827311472,556.8255222404841,0.017265060240963852,0.020004267217873337,0.001924662879395824,3.6542473029813527,5.532145809975986,1.6645506912442396,5.904608845308382,0.55552337719912,-1,-1,0.01549728752260398,0.015896264413342083,0.001324916729160927,3.2170296547875705,4.594289384167319,1.4121752577319586,5.396310620182173,0.4802663319917661,348.54717953584804,1481.02769161466,0.0159006734006734,0.017654710063473696,0.0014197877952202606,2.830986410160025,4.619753568500168,1.9921676891615543,7.334706569079498,0.4596945852137546,-1,-1,0.017397660818713453,0.017628125393457535,0.0009986541871489709
5,100,3,0.2,7,False,0.008,800,0.005,0.01,15000,0,250,0.05,30,2,0,0.05,30,59,800,2.42718514613309,3.483983807337138,2.0460344827586208,7.660175763189046,0.44082458913174605,159.04161236061879,299.05646754202814,0.01723703170028819,0.019033358713767493,0.0010013289464426674,2.485117033018022,3.0638256827094965,1.5479983660130718,5.6792204330455,0.44995500396628263,377.79636796703386,1790.1193543146371,0.016449175824175825,0.017208966145711678,0.001250101170803375,3.073437125902442,4.8118817613275375,1.9518249258160236,6.859195387075154,0.5178444155763203,359.75296945318644,1522.162446142714,0.016755386565272496,0.017673413457175175,0.001233212753293932,3.1431359329686273,4.308558434978677,1.897383627608347,6.386923901743792,0.5015379375946335,-1,-1,0.016431398416886546,0.017052686195661432,0.001213987650328158,3.014260097816828,4.348352842085346,2.132485380116959,7.173579035029416,0.6207736531268464,-1,-1,0.017236421725239617,0.016898920016944298,0.0013238166992518166,2.6801174987452963,3.7065137389993525,1.9352002002002002,7.323291770940325,0.45412944805494393,213.15068092296636,486.62494581044126,0.01753706754530478,0.01970511252454532,0.0011084743478838046
6,100,3,0.2,8,False,0.008,800,0.005,0.01,15000,0,250,0.05,30,2,0,0.05,30,59,800,2.3542007535675165,3.1479206862650733,2.3590311804008905,8.125692837146891,0.531469448735891,-1,-1,0.016913357400722022,0.017701742819173586,0.0010423227525298204,3.2479990691841607,4.601620204066469,1.6702543720190781,6.279158122220536,0.49071820300177293,276.3560790697673,804.4395793759566,0.0178335535006605,0.01929733377457216,0.0013746921106206956,3.2827456515035816,4.074237814299626,1.9839139344262298,6.320738208855656,0.5608076942926351,343.93348777534214,1314.4056796933617,0.01730392156862745,0.018508586180448178,0.0014664038958191858,3.547714994581608,5.187915975630794,1.7328405994550409,5.949276208163644,0.4303999120008768,-1,-1,0.016865839909808344,0.017389919035076744,0.0011444368187061664,2.592853348390406,3.3957733779908787,1.8856397637795277,6.309625344062402,0.5486909378610046,-1,-1,0.01682182985553772,0.01836657333947444,0.0014422487969279873,2.6923627443674665,3.6747993803989605,2.428212560386473,8.301053963303575,0.5057304853038693,279.33071849740946,845.1949825478139,0.015845790715971676,0.016453108511328404,0.0009045472508740093
7,100,3,0.2,9,False,0.008,800,0.005,0.01,15000,0,250,0.05,30,2,0,0.05,30,59,800,2.397449102360204,3.2736126060045168,2.0822742906276868,7.350799481527702,0.4224747815055772,308.90857435552977,1054.9734840003437,0.016631768953068594,0.017875667711970463,0.0009414417579893302,2.5476396536634978,3.6445933016782703,1.8046590909090912,6.020048161863386,0.4192696696641529,321.1622847652575,1161.6595448051603,0.017526824034334764,0.01938220527518866,0.001244375076331948,2.5566147735997817,3.5994484038831946,2.0473894436519253,6.901840563989452,0.5109306839440604,285.09440749252,880.65063599533,0.016420927467300835,0.018064061972062923,0.0012208814298359768,2.994084242019447,4.07362725721788,1.6291608391608394,5.8433966373030035,0.4283200620418035,-1,-1,0.01607843137254902,0.016450150718754598,0.0010950057607963795,3.1679084872993903,4.381529881444097,1.6910329861111113,6.20475588487781,0.5067217305983545,286.23435434022025,880.0209452131452,0.016873219373219377,0.017513190654492212,0.0012955458600815832,2.62914318439893,3.4586907998496663,2.2712090558766858,7.4577473138824875,0.45369611346692934,297.1712314470743,927.8768260187715,0.017308602999210734,0.018246370069148615,0.0010047181385355866
8,100,3,0.2,10,False,0.008,800,0.005,0.01,15000,0,250,0.05,30,2,0,0.05,30,59,800,2.5443941584891983,3.423932254759413,2.17376965408805,7.0442986474984375,0.3871241596092866,324.75656500704054,1177.1579632415094,0.016650326797385623,0.017127127983555764,0.0008582126248291617,2.7655339921619473,3.581912355078209,1.5081036931818184,5.502554538915208,0.40647524132199614,287.6023905684222,873.1844211631992,0.017049941927990708,0.018062571991974693,0.001206518781158809,3.157557789749286,4.207342053849937,1.861765988372093,6.244919700282072,0.46664724980611766,335.2114314429443,1314.1444228543326,0.01673053892215569,0.018011120026798517,0.0012216690007390344,3.129699206868835,4.393764358822266,2.0918991712707182,6.709159460618771,0.4887141374250394,205.38392192187652,469.61086037299214,0.016979638009049777,0.019250246325160876,0.0012690134641049947,2.4283109455611265,3.284284136029237,2.1344783715012725,6.95936482453554,0.48653535218568783,209.21044268000492,490.8460865555975,0.016379853095487933,0.01865803415109576,0.0011846103006920247,2.3150689398048763,3.2126148913885246,2.0446765249537893,7.141589500141038,0.42553699677000334,336.50908453564455,1294.7156833613194,0.016730328495034377,0.016915640372061114,0.0009163780785467138
9,100,3,0.2,11,False,0.008,800,0.005,0.01,15000,0,250,0.05,30,2,0,0.05,30,59,800,2.583076358776065,3.624487515639481,2.214385964912281,7.662915311578087,0.43411323046950795,215.90967207973216,508.7155105573957,0.016558396682791986,0.018004468758811253,0.0009276883812904667,3.2288226114244005,4.29069118307939,1.873088888888889,6.191210703673713,0.46706762973975946,-1,-1,0.017144563918757467,0.018474546012753227,0.0012516045040902458,2.6330066237475562,3.5297073174768157,1.9685777496839443,6.789499373169275,0.47315734060997156,323.79635709395546,1163.2698883337262,0.01698952879581152,0.018100067839621734,0.001147980703906409,2.669345160218398,3.5878795532176126,1.9814558139534884,6.5368528304618705,0.39076939875906963,294.9751044135085,963.8746793181845,0.01640795631825273,0.018164262603171333,0.0009943283697445245,2.7147500467974552,3.570213064613477,2.4969470198675494,7.619185659661958,0.5434894921898092,295.9169983377575,980.3114567049392,0.0170479302832244,0.019230849939568185,0.0012440367493784157,2.6974711416206683,3.761351457331555,2.074006488240065,6.999637727153701,0.39070601410454464,182.37433647286392,373.7259917550043,0.017161354581673307,0.019378452711875886,0.000978729509678451
