experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,excludedVolumeCutOff,waitingSteps,numMaxSteps,encounterDistance,genomicDistance,Nb,selectedSubDomain,iterationsNumber,polymerParams,FETs,eventsCounter,repair_probability_CI,MSRG_atEncounter
0,100,3,0.2,15,True,0.008,20,0.01,0.01,0.2,200,500,0.1,2,2,0,20,"{'b': 0.2, 'monomersNumber': 100, 'crosslinksNumber': 15}",[4.91 0.72 1.01 0.19 3.85 2.68 1.21 0.35 0.25 0.   1.04 4.17 4.99],"Counter({'Misrepair': 11, 'Repair': 2})","[0.15384615384615385, 0.1961337731926865]","[0.5011795798996266, 0.32733318280061074, 0.38149872723279665, 0.5328274554876263, 0.5541445575775567, 0.21840678810360836, 0.9078941140601821, 0.6528151391636046, 0.42212532787366513, 0.9630418093551814, 1.5538281415594273, 1.1981681605194165, 0.4483769308422636]"
experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,excludedVolumeCutOff,waitingSteps,numMaxSteps,encounterDistance,genomicDistance,Nb,selectedSubDomain,iterationsNumber,polymerParams,FETs,eventsCounter,repair_probability_CI,MSRG_atEncounter
0,100,3,0.2,15,True,0.008,20,0.01,0.01,0.2,200,500,0.1,4,2,0,20,"{'b': 0.2, 'monomersNumber': 100, 'crosslinksNumber': 15}",[2.75 3.66 1.63 0.27],"Counter({'Misrepair': 3, 'Repair': 1})","[0.25, 0.4243524478543749]","[0.5508121533599704, 0.8526592264800406, 0.20545140636348433, 0.658130686876071]"
experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,excludedVolumeCutOff,waitingSteps,numMaxSteps,encounterDistance,genomicDistance,Nb,selectedSubDomain,iterationsNumber,polymerParams,FETs,eventsCounter,repair_probability_CI,MSRG_atEncounter
0,100,3,0.2,15,True,0.008,20,0.01,0.01,0.2,200,500,0.1,6,2,0,20,"{'b': 0.2, 'monomersNumber': 100, 'crosslinksNumber': 15}",[0.72 1.4  2.72 1.69],"Counter({'Repair': 2, 'Misrepair': 2})","[0.5, 0.49]","[2.404986053258151, 0.8839407639476717, 0.24749995428122687, 0.3534829557713182]"
experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,excludedVolumeCutOff,waitingSteps,numMaxSteps,encounterDistance,genomicDistance,Nb,selectedSubDomain,iterationsNumber,polymerParams,FETs,eventsCounter,repair_probability_CI,MSRG_atEncounter
0,100,3,0.2,15,True,0.008,20,0.01,0.01,0.2,200,500,0.1,8,2,0,20,"{'b': 0.2, 'monomersNumber': 100, 'crosslinksNumber': 15}",[3.04 1.67 2.15 0.67 0.75],"Counter({'Repair': 4, 'Misrepair': 1})","[0.8, 0.350615458871967]","[0.7434853633979864, 0.46282797466865316, 0.34079189122868725, 0.8937049683134272, 0.21168645984644638]"
experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,excludedVolumeCutOff,waitingSteps,numMaxSteps,encounterDistance,genomicDistance,Nb,selectedSubDomain,iterationsNumber,polymerParams,FETs,eventsCounter,repair_probability_CI,MSRG_atEncounter
0,100,3,0.2,15,True,0.008,20,0.01,0.01,0.2,200,500,0.1,10,2,0,20,"{'b': 0.2, 'monomersNumber': 100, 'crosslinksNumber': 15}",[0.   3.93 1.87],"Counter({'Misrepair': 2, 'Repair': 1})","[0.3333333333333333, 0.533444432872781]","[0.4339632186818468, 0.2744911797402882, 0.2679037183482483]"
experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,excludedVolumeCutOff,waitingSteps,numMaxSteps,encounterDistance,genomicDistance,Nb,selectedSubDomain,iterationsNumber,polymerParams,FETs,eventsCounter,repair_probability_CI,MSRG_atEncounter
