experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,excludedVolumeCutOff,waitingSteps,numMaxSteps,encounterDistance,genomicDistance,Nb,selectedSubDomain,iterationsNumber,events,polymerParams,FETs,eventsCounter,repair_probability_CI,MSRG_atEncounter
,,,,,,,,,,,,,,,,,,,,,,,
0,100,3,0.2,15,TRUE,0.008,200,0.01,0.01,0.2,200,1000,0.1,2,2,0,200,"['Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Repair', 'Repair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Repair', 'Misrepair', 'Misrepair', 'Repair', 'Misrepair', 'Misrepair', 'Misrepair', 'Repair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Repair', 'Repair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Repair', 'Misrepair', 'Repair', 'Misrepair', 'Misrepair', 'Misrepair', 'Repair', 'Misrepair', 'Repair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Repair', 'Repair', 'Misrepair', 'Misrepair', 'Repair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Repair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Repair', 'Misrepair', 'Repair', 'Misrepair', 'Repair', 'Repair', 'Misrepair', 'Repair', 'Repair', 'Misrepair', 'Repair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Repair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Repair', 'Repair']","{'b': 0.2, 'monomersNumber': 100, 'crosslinksNumber': 15}","[5.95 2.5  0.87 2.1  7.32 0.19 2.14 8.9  5.97 4.   8.62 6.71 0.4  8.8
 1.91 2.16 8.97 0.66 9.03 2.48 6.78 3.03 7.22 5.31 1.99 6.79 7.89 0.01
 6.67 2.   7.96 1.14 9.47 6.41 3.13 3.43 2.85 1.24 0.03 2.3  3.71 0.83
 4.56 0.26 8.42 3.25 2.14 1.2  0.16 6.   1.05 2.75 1.75 0.42 1.42 9.24
 1.12 6.65 6.73 7.73 0.15 9.9  0.72 0.   0.11 0.76 3.06 3.86 0.54 0.04
 2.28 1.93 2.32 8.81 0.   0.69 1.35 0.39 1.04 6.75 7.17 3.73 0.   3.08
 2.36 8.17 8.3  0.61 5.56 5.7  8.61 0.05 7.37 1.52 1.79 0.88 5.35 1.08
 0.74 1.48 0.49 3.87 7.09 6.57 0.01 2.26 8.11 1.8  6.87 8.04 7.98 9.23
 5.97 3.61 3.02 5.57 4.09 4.07 2.31 1.2  7.86 5.46 3.29 0.36 8.06 0.06
 6.06 4.2  6.42 3.03 4.96 2.94 4.38 2.95]","Counter({'Misrepair': 109, 'Repair': 25})","[0.1865671641791045, 0.06596022480231788]","[0.5031957713897266, 0.43824585257088766, 0.6636197501860819, 0.5330833028745792, 0.3228106571089098, 0.6719376393134112, 0.27298091465070873, 0.3017964365279685, 0.838127538342949, 0.715644650058864, 0.2655294924580777, 0.6879772982503205, 0.4410099722425736, 0.14616724559742145, 0.260337924954884, 2.728370907284633, 0.1707544214196516, 1.5417381061500215, 0.33798301789151275, 0.39859742582839003, 0.3749743468252246, 0.8665155702326389, 0.7074041832551905, 0.20337566329842743, 0.332563092795436, 0.24971293888461368, 0.4609956473164878, 0.2984881091826428, 0.6201883311684543, 0.6623924795392538, 0.41047848808287185, 1.1725074198773795, 0.5378657370133687, 0.856077418904055, 0.6064508026171811, 0.7492290242352142, 0.29214082458997565, 0.29244379126772435, 0.2741450589122888, 1.1227120621509454, 0.4832714496694471, 0.40337270302004025, 0.697114173678752, 0.8681073132547894, 0.1582641589847782, 0.3958559513223957, 0.6496332708820469, 0.35762940444201213, 0.9436449098644539, 1.5117977991664346, 0.5519904389007929, 0.3320378120029251, 0.4820416652242507, 0.8227524273829752, 0.37883471255407974, 0.23166794593219517, 0.6810123063576977, 0.5808465072639192, 0.30824404528530375, 1.0060843831967288, 0.6148809139690081, 0.4393567103589413, 0.44799883240257854, 0.3299836645688974, 0.38432805222961497, 0.3775027320990525, 0.34414506863985556, 0.5100834766209136, 0.5056280907134026, 1.0195894462615334, 0.4862242440092344, 0.4096462359504951, 0.9653466626910925, 0.33967412955027, 0.18281721526321004, 0.3670158445589621, 1.5278996719937308, 0.6866117049154681, 0.4514585695837354, 0.6134778163969324, 0.303513631310883, 0.20407449401930391, 0.4651352079085903, 0.8946234587542832, 0.6279940936937145, 0.8684226486498879, 0.18933650204532582, 0.3518956615665731, 1.4118551627041143, 0.6667002765619925, 0.6255336860730163, 0.9234604948866005, 0.5846384181966767, 0.3162743441543949, 0.6981210137693565, 0.514454154140493, 1.0010828919555679, 0.25136791044853934, 0.22031755823893523, 0.6913968542261947, 1.3064744742462182, 0.33736770570455266, 0.4114957576940298, 0.9104003092934049, 0.5279388409956103, 0.2500255680463848, 1.1605866885248362, 0.26701431887420235, 0.35902454023425384, 0.3571364762959312, 0.5314622996446626, 0.6523776105532297, 0.46068624641073685, 1.5023720940344076, 0.3771733797118692, 0.7979496391907805, 0.3536395800632171, 0.7728747349261482, 2.4578732199526425, 0.5199658494626979, 0.6217099703307138, 0.1702606850899981, 0.8847147406734162, 0.699446887045899, 0.35963647399465787, 0.2693636814032402, 0.9006515420410373, 0.624169685329957, 0.32574604267997914, 0.5446661089455432, 0.8407275995581679, 0.5356892626154426, 0.5400378443305375, 0.8804517952254461]"
,,,,,,,,,,,,,,,,,,,,,,,
0,100,3,0.2,15,TRUE,0.008,200,0.01,0.01,0.2,200,1000,0.1,4,2,0,200,"['Repair', 'Misrepair', 'Misrepair', 'Repair', 'Repair', 'Misrepair', 'Misrepair', 'Repair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Repair', 'Misrepair', 'Misrepair', 'Misrepair', 'Repair', 'Misrepair', 'Repair', 'Repair', 'Misrepair', 'Repair', 'Repair', 'Misrepair', 'Repair', 'Repair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Repair', 'Misrepair', 'Repair', 'Misrepair', 'Misrepair', 'Repair', 'Misrepair', 'Repair', 'Misrepair', 'Misrepair', 'Repair', 'Misrepair', 'Misrepair', 'Repair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Repair', 'Misrepair', 'Misrepair', 'Repair', 'Misrepair', 'Misrepair', 'Repair', 'Repair', 'Repair', 'Misrepair', 'Repair', 'Misrepair', 'Repair', 'Repair', 'Repair', 'Misrepair']","{'b': 0.2, 'monomersNumber': 100, 'crosslinksNumber': 15}","[0.06 3.32 4.26 5.58 4.33 1.13 0.29 4.41 0.29 6.02 2.91 5.16 1.84 4.32
 1.68 5.42 6.24 7.44 7.4  0.37 0.74 4.32 2.71 8.18 8.86 4.22 3.42 5.37
 7.8  2.59 0.98 6.4  2.41 0.21 3.05 3.87 1.16 3.08 9.92 0.43 0.19 7.14
 8.31 0.86 5.97 0.75 2.66 0.19 0.   1.13 3.89 1.74 3.54 1.67 3.53 3.02
 9.96 5.29 0.7  0.32 2.36 0.   1.65 8.14 3.95 7.86 0.2  0.   8.53 8.01
 5.02 0.15 1.78 1.64]","Counter({'Misrepair': 47, 'Repair': 27})","[0.36486486486486486, 0.10968299551373696]","[0.2152370825642814, 0.6737897871815202, 1.5304633070132205, 0.14370794229770262, 0.26136440867830574, 0.7025685732851749, 0.4632619213558353, 0.4999204471306074, 0.32785765355572744, 0.49280674825614396, 0.21308783710838664, 0.2447604921602222, 0.44610597570735744, 0.87219338601761, 0.48050115162814677, 0.30090232564582764, 0.798549915374498, 0.36370879896716773, 0.25313399331913794, 0.4463585232369166, 0.991650974733748, 0.6568396634858317, 2.128070947206623, 0.637811972398797, 0.2027791010641085, 0.25871204182165713, 0.6541851372648516, 2.392677290359608, 0.3227597253261628, 0.5245555472659622, 0.4653715697314479, 0.27617615916047705, 0.610018061562039, 0.6461918452021547, 0.9377859115439919, 0.5753050872889192, 0.3278982469899097, 0.3478732843308838, 0.454068709258453, 0.48530702252700886, 0.7560975947324552, 0.30129777534075347, 0.7307357560160215, 0.7048219077673167, 0.5067106916855966, 0.8886508260543324, 0.6937747635816938, 0.5655713338482914, 0.7949750242828241, 0.7166438717868163, 0.39287098115053465, 0.35360102976184143, 0.8860510728213004, 0.20775535764746, 0.31675536717419633, 0.43248924295842933, 0.16792653971501953, 0.3547501423013717, 0.33463897714925545, 1.099368894923383, 0.5813576596420387, 0.9837475645095519, 0.25282818404462076, 0.3183026097342481, 0.1826405459445571, 0.24309045838270346, 0.8226030569424693, 0.37345371043224185, 0.19344050618300826, 0.5208744814779329, 0.3289460279849286, 1.0913054040466916, 0.18356922575526075, 0.6588035734699845]"
,,,,,,,,,,,,,,,,,,,,,,,
0,100,3,0.2,15,TRUE,0.008,200,0.01,0.01,0.2,200,1000,0.1,6,2,0,200,"['Repair', 'Repair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Repair', 'Misrepair', 'Misrepair', 'Misrepair', 'Repair', 'Repair', 'Misrepair', 'Misrepair', 'Misrepair', 'Repair', 'Repair', 'Misrepair', 'Repair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Repair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Repair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Repair', 'Misrepair', 'Misrepair', 'Misrepair', 'Repair', 'Misrepair', 'Misrepair', 'Repair', 'Misrepair', 'Repair', 'Misrepair', 'Repair', 'Misrepair']","{'b': 0.2, 'monomersNumber': 100, 'crosslinksNumber': 15}","[9.23 0.22 2.29 9.92 2.49 6.98 2.68 0.19 0.9  0.49 1.91 4.04 0.81 9.65
 1.43 8.86 2.29 4.13 5.31 4.99 4.21 2.71 3.98 0.42 4.05 6.02 9.28 4.59
 6.68 2.95 3.02 2.18 0.32 8.21 3.06 0.05 0.07 5.42 4.05 3.87 4.83 6.73
 3.21 9.3  8.34 3.12 4.04 6.21 7.68 1.02 4.71 2.67 6.14 7.   1.72 0.11
 1.31 1.78 0.23 1.89 7.27 1.   0.   4.9 ]","Counter({'Misrepair': 49, 'Repair': 15})","[0.234375, 0.10378385060540186]","[0.24935001758062147, 0.8234163269795772, 1.3307230759749982, 0.28795112523280564, 0.4297467104694979, 0.48803402785524175, 0.29327579842691154, 0.1681176073248668, 0.9396040615859329, 0.3771759800999175, 0.5690499831138731, 0.8655813090451775, 0.37693855070733767, 1.264972860470548, 0.43679199868555735, 0.3275496204628897, 0.2875208725248454, 0.9066812718344831, 0.991265461170632, 0.3059826087926968, 1.5220655383112751, 0.6116572973601117, 0.35070804156031316, 0.1844131067611672, 0.557133063304395, 0.8505322281842557, 0.26515463207701706, 0.9484916583714997, 0.24284011698489555, 1.0864293011625927, 0.6836692760931752, 0.6165425104191522, 0.6650786141723062, 0.434978831860086, 0.4559760050410674, 0.6052078127012482, 0.6480862603009819, 0.3979302711609835, 1.0782227618480456, 0.24724781384043656, 0.49968710395774935, 0.20908252824551415, 0.5049959088887451, 0.9242916415731972, 0.2993038412103701, 0.29603481251533315, 1.1601419802195556, 0.4442269951521354, 0.5008050067268227, 0.5943343545195671, 0.6743946975636815, 0.22512831168698744, 0.1639897670042812, 0.3966817177240912, 0.8087568243175958, 0.616133362802388, 0.5945261442215377, 0.6893740361947219, 0.6503606890118837, 0.8364538230420833, 0.2336533030977212, 0.26040704701148343, 0.7772911293390001, 1.1193379913656718]"
,,,,,,,,,,,,,,,,,,,,,,,
0,100,3,0.2,15,TRUE,0.008,200,0.01,0.01,0.2,200,1000,0.1,8,2,0,200,"['Repair', 'Repair', 'Misrepair', 'Repair', 'Misrepair', 'Misrepair', 'Repair', 'Misrepair', 'Repair', 'Misrepair', 'Misrepair', 'Repair', 'Misrepair', 'Repair', 'Repair', 'Repair', 'Repair', 'Misrepair', 'Misrepair', 'Repair', 'Repair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Repair', 'Repair', 'Repair', 'Misrepair', 'Misrepair', 'Misrepair', 'Repair', 'Repair', 'Repair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Repair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Repair', 'Repair', 'Misrepair', 'Misrepair', 'Repair', 'Misrepair', 'Repair', 'Repair', 'Misrepair', 'Misrepair', 'Repair', 'Repair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair']","{'b': 0.2, 'monomersNumber': 100, 'crosslinksNumber': 15}","[0.78 1.76 1.28 1.56 0.39 0.64 1.08 9.73 4.71 7.05 4.5  5.42 0.   0.04
 0.38 2.25 0.34 0.47 0.06 9.13 0.01 0.4  0.   2.57 3.99 5.84 1.94 0.77
 3.97 9.05 8.69 3.63 8.59 0.04 7.29 2.6  5.86 3.37 2.23 4.39 0.26 3.37
 2.87 9.58 2.96 1.15 4.58 0.   5.44 6.37 8.52 9.95 5.05 7.51 9.82 8.95
 1.01 8.34 7.23]","Counter({'Misrepair': 33, 'Repair': 26})","[0.4406779661016949, 0.12668397964370792]","[0.42378076628411193, 0.7441110361958246, 0.25227112582659333, 0.3508603181969048, 0.47675014386951126, 0.5084775691568411, 0.20061739247835894, 0.26939402491221, 0.40718700463161484, 0.7264853690229226, 0.34506295236390566, 0.4265529399862635, 0.6035847210507478, 0.2053455835719912, 0.24983818665050975, 0.17584894593523662, 1.023825887280448, 0.2954040939203106, 0.8237321279367914, 0.6482706843970866, 0.3248949205821006, 0.44095347840115806, 0.4780505520774914, 2.7867763603008386, 0.82633206927939, 0.3657063832392747, 0.6137106848243571, 0.32480048955988566, 0.6073589293105869, 0.32164175612578694, 1.386327278541268, 0.23474067529731243, 0.2763596264270864, 0.47728792680394805, 0.4769135104325959, 0.6304928496936468, 0.6673149743876821, 0.7975471829490164, 0.7091691695474728, 0.15508485331201866, 0.5354231657653473, 0.24441293314559132, 0.5735940758657252, 0.2025918786278866, 0.4366022558570368, 0.5598659949874049, 0.4392954382963952, 1.6829556481202603, 0.32613171083403536, 0.3193123311421834, 0.29434599666225364, 1.4402867446849443, 0.7130762654237415, 0.28415741657746457, 0.837051347171421, 0.22586080309058662, 0.7170635117355582, 0.7574181153200353, 0.509681225349873]"
,,,,,,,,,,,,,,,,,,,,,,,
0,100,3,0.2,15,TRUE,0.008,200,0.01,0.01,0.2,200,1000,0.1,10,2,0,200,"['Repair', 'Misrepair', 'Repair', 'Repair', 'Repair', 'Misrepair', 'Repair', 'Misrepair', 'Misrepair', 'Repair', 'Repair', 'Repair', 'Repair', 'Repair', 'Misrepair', 'Repair', 'Repair', 'Misrepair', 'Repair', 'Repair', 'Repair', 'Repair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Repair', 'Misrepair', 'Misrepair', 'Misrepair', 'Repair', 'Misrepair', 'Misrepair', 'Repair', 'Repair', 'Misrepair', 'Misrepair', 'Misrepair', 'Repair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Repair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair', 'Misrepair']","{'b': 0.2, 'monomersNumber': 100, 'crosslinksNumber': 15}","[9.15 2.28 6.6  4.15 2.37 0.09 0.62 7.13 4.66 1.52 0.19 5.53 3.91 0.77
 7.88 9.79 0.77 0.93 6.43 4.3  0.49 0.08 8.77 3.57 3.93 0.08 5.67 3.91
 2.16 9.61 1.28 7.99 0.02 0.44 7.24 7.42 8.27 2.31 6.28 4.19 1.74 8.77
 3.74 3.47 3.82 3.06 3.18 1.22 9.65 7.94 0.38 4.51]","Counter({'Misrepair': 30, 'Repair': 22})","[0.4230769230769231, 0.13428361483279555]","[0.5248439340052845, 0.389084661551445, 0.8037414417827934, 0.32570472596469374, 0.32466786089538924, 0.5990919109317023, 1.6942188502802884, 0.49468809783163054, 0.5307520622274008, 0.5188706129412308, 1.5047563474375028, 0.5802100239852869, 0.3481842917566875, 0.5207981239410383, 0.5041763535413104, 0.19250437388919658, 0.3255088481100089, 0.2759104439151256, 0.2561422614578976, 0.2674352819576219, 0.3067128794254635, 0.6989833034932066, 0.5245411622495469, 0.23836651075256296, 0.571980908004804, 0.7194491088814836, 0.5497798828751231, 0.33742914551404524, 0.3520673912744132, 0.4294144812070795, 0.4857900756412393, 0.7494523075833365, 0.2737938725662924, 0.4244535384458772, 0.24324532377058353, 0.351434951068917, 0.33816128530051737, 2.0281209788355348, 0.6077014088626536, 0.7163808596813033, 0.28190293676654404, 0.35967065210773536, 1.3381746563815669, 0.3140993423025308, 0.5340242881645673, 1.1949860591099182, 0.6135082013301668, 0.40153739292549856, 0.45770848427760713, 0.4897249737876288, 1.214131737650504, 0.2020404669165855]"
,,,,,,,,,,,,,,,,,,,,,,,
