experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,numSteps,waitingSteps,numMaxSteps,encounterDistance,genomicDistance,Nb,selectedSubDomain,iterationsNumber,events,FETs,meanFET,halfCI_FET,expFit_Amplitude,expFit_Rate,eventsCounter,repair_probability,repair_CIhalflength,mean_removedCLs
0_0,[100  50],3,0.2,"[[12  0]
 [ 0 12]]",False,0.008,3,0.0134,0.01,12000,250,12000,0.07341813895417545,10,2,0,3,['Misrepair_a1-b2' 'Misrepair_a2-b1' 'Repair'],[14.0566  2.077   4.1406],6.758066666666667,5.917343034417566,-1,-1,"Counter({'Misrepair_a1-b2': 1, 'Misrepair_a2-b1': 1, 'Repair': 1})",0.3333333333333333,0.533444432872781,0.6666666666666666
0_1,[100 100],3,0.2,"[[12  0]
 [ 0 12]]",False,0.008,3,0.0117,0.01,12000,250,12000,0.06872621465253625,10,2,0,3,['Misrepair_a1-b1' 'Repair' 'Misrepair_a1-b2'],[111.267    0.6786  18.2052],43.3836,54.91819444783932,-1,-1,"Counter({'Misrepair_a1-b1': 1, 'Repair': 1, 'Misrepair_a1-b2': 1})",0.3333333333333333,0.533444432872781,1.0
0_2,[100 200],3,0.2,"[[12  0]
 [ 0 12]]",False,0.008,3,0.0097,0.01,12000,250,12000,0.06247367460358569,10,2,0,3,['Misrepair_a1-b1' 'Repair' 'Repair'],[47.9083  7.1392  2.0855],19.044333333333338,23.213686313500293,-1,-1,"Counter({'Repair': 2, 'Misrepair_a1-b1': 1})",0.6666666666666666,0.533444432872781,0.3333333333333333
0_3,[100 300],3,0.2,"[[12  0]
 [ 0 12]]",False,0.008,3,0.008400000000000001,0.01,12000,250,12000,0.05831469482809509,10,2,0,3,['Repair' 'Misrepair_a2-b1' 'Repair'],[11.466  75.1464  2.3352],29.649200000000004,36.648905364057725,-1,-1,"Counter({'Repair': 2, 'Misrepair_a2-b1': 1})",0.6666666666666666,0.533444432872781,0.3333333333333333
1_0,[100  50],3,0.2,"[[12  1]
 [ 1 12]]",False,0.008,3,0.0128,0.01,12000,250,12000,0.0718536693183169,10,2,0,3,['Repair' 'Repair' 'Misrepair_a2-b1'],[ 4.7872  0.512  15.3984],6.8992,7.081761709511806,-1,-1,"Counter({'Repair': 2, 'Misrepair_a2-b1': 1})",0.6666666666666666,0.533444432872781,1.0
1_1,[100 100],3,0.2,"[[12  1]
 [ 1 12]]",False,0.008,3,0.0112,0.01,12000,250,12000,0.0672858011960512,10,2,0,3,['Repair' 'Misrepair_a1-b1' 'Repair'],[  0.672  113.7584  24.4832],46.30453333333333,55.083876695925625,-1,-1,"Counter({'Repair': 2, 'Misrepair_a1-b1': 1})",0.6666666666666666,0.533444432872781,0.6666666666666666
1_2,[100 200],3,0.2,"[[12  1]
 [ 1 12]]",False,0.008,3,0.009300000000000001,0.01,12000,250,12000,0.061187149223742035,10,2,0,3,['Misrepair_a1-b1' 'Misrepair_a1-b1' 'Misrepair_a2-b1'],[14.1732 79.9428  8.7885],34.301500000000004,36.605269661408855,-1,-1,"Counter({'Misrepair_a1-b1': 2, 'Misrepair_a2-b1': 1})",0.0,0.0,0.6666666666666666
1_3,[100 300],3,0.2,"[[12  1]
 [ 1 12]]",False,0.008,3,0.008100000000000001,0.01,12000,250,12000,0.057124829640381077,10,2,0,3,['Misrepair_a1-b1' 'Misrepair_a2-b1' 'Repair'],[13.1949 80.0037  5.7186],32.9724,37.79104040368976,-1,-1,"Counter({'Misrepair_a1-b1': 1, 'Misrepair_a2-b1': 1, 'Repair': 1})",0.3333333333333333,0.533444432872781,0.6666666666666666
2_0,[100  50],3,0.2,"[[12  2]
 [ 2 12]]",False,0.008,3,0.0123,0.01,12000,250,12000,0.07042760518362207,10,2,0,3,['Repair' 'Misrepair_a2-b2' 'Misrepair_a2-b2'],[ 4.428  31.8693  0.1599],12.1524,15.89954229885024,-1,-1,"Counter({'Misrepair_a2-b2': 2, 'Repair': 1})",0.3333333333333333,0.533444432872781,1.0
2_1,[100 100],3,0.2,"[[12  2]
 [ 2 12]]",False,0.008,3,0.0108,0.01,12000,250,12000,0.06597374808532423,10,2,0,3,['Misrepair_a2-b2' 'Repair' 'Repair'],[26.082  0.108  1.512],9.234,13.496801937999978,-1,-1,"Counter({'Repair': 2, 'Misrepair_a2-b2': 1})",0.6666666666666666,0.533444432872781,2.3333333333333335
